seed,method,success,time_s,energy_j,path_length_m,failure_reason_raw,failure_bucket,energy_kj_per_km
36,astar,True,297.740021781396,344577.2278076849,4466.100326720938,goal_reached,goal_reached,77.15393802196051
36,teacher,True,402.0,421847.0143655378,4268.51762511375,goal_reached,goal_reached,98.82752079635519
36,rl_residual,True,202.0,299598.65992213273,4154.861705776184,goal_reached,goal_reached,72.1079740164694
37,astar,True,257.2856651036075,324828.99779859337,3859.284976554116,goal_reached,goal_reached,84.16818135276115
37,teacher,True,346.0,406259.26002625236,3933.128681359558,goal_reached,goal_reached,103.29162682920952
37,rl_residual,False,116.0,213070.56683871383,2525.087836076573,overload,overload,
38,astar,True,294.9413271667109,269073.995752275,4424.119907500664,goal_reached,goal_reached,60.81977916016387
38,teacher,True,396.0,341021.9858852434,4104.962026014989,goal_reached,goal_reached,83.07555191108561
38,rl_residual,True,200.0,224507.92610634724,4189.163736554718,goal_reached,goal_reached,53.59254023596335
39,astar,True,293.3702660145798,377916.4013040535,4400.553990218697,goal_reached,goal_reached,85.87927841450524
39,teacher,False,6.0,20873.074588544667,149.53596371214246,overload,overload,
39,rl_residual,False,4.0,20753.06694603013,144.226332759467,overload,overload,
40,astar,True,339.92684179644834,413231.08612133516,5098.902626946728,goal_reached,goal_reached,81.0431413099532
40,teacher,True,430.0,475692.7849661531,4728.990687843394,goal_reached,goal_reached,100.59076373083063
40,rl_residual,True,218.0,358016.4210955794,4687.331437221328,goal_reached,goal_reached,76.37958311473984
41,astar,True,369.3450052590225,404219.32311894296,5540.175078885343,goal_reached,goal_reached,72.96147095774994
41,teacher,True,494.0,498500.97006004327,5133.453301429368,goal_reached,goal_reached,97.10830912229001
41,rl_residual,True,250.0,348029.1912351586,5081.277296154646,goal_reached,goal_reached,68.49246182619011
42,astar,True,256.8045774147369,260792.4958127119,3852.0686612210525,goal_reached,goal_reached,67.70193336326571
42,teacher,True,346.0,328086.7763927984,3589.27699541886,goal_reached,goal_reached,91.4074831258632
42,rl_residual,True,174.0,221029.56200774666,3586.0590798132466,goal_reached,goal_reached,61.63578376384623
43,astar,True,170.56441424864434,143924.0473567645,2558.4662137296655,goal_reached,goal_reached,56.25403477459089
43,teacher,True,226.0,191914.80619237246,2488.195077932632,goal_reached,goal_reached,77.13012853953107
43,rl_residual,True,114.0,108760.93101128563,2472.191729359947,goal_reached,goal_reached,43.99372820466637
44,astar,True,236.40979955716836,205191.363573822,3546.1469933575263,goal_reached,goal_reached,57.86318614489944
44,teacher,True,320.0,272332.7490676027,3335.222210031656,goal_reached,goal_reached,81.65355467125468
44,rl_residual,True,162.0,158085.14541167347,3357.293428659564,goal_reached,goal_reached,47.087080343403485
45,astar,True,290.8126331763796,267777.2222425754,4362.1894976456915,goal_reached,goal_reached,61.38596738795893
45,teacher,True,364.0,324975.81585672824,4110.043740052637,goal_reached,goal_reached,79.06870009431245
45,rl_residual,True,184.0,214926.70154104102,4109.864430574509,goal_reached,goal_reached,52.29532632320839
46,astar,True,343.7020789582741,312842.121404857,5155.531184374113,goal_reached,goal_reached,60.68087074190327
46,teacher,True,464.0,399941.03713886486,4720.828838865966,goal_reached,goal_reached,84.71839390706197
46,rl_residual,True,234.0,258342.013870385,4770.991496208895,goal_reached,goal_reached,54.14849598362681
47,astar,True,295.61532873167783,357074.4898095104,4434.229930975169,goal_reached,goal_reached,80.52683224998734
47,teacher,True,370.0,415716.11458445946,4116.752711057183,goal_reached,goal_reached,100.98156089577299
47,rl_residual,True,186.0,301073.30851941556,3957.223531218612,goal_reached,goal_reached,76.08195648899853
48,astar,True,353.10648379987623,393175.0648115944,5296.597256998144,goal_reached,goal_reached,74.23163320415021
48,teacher,True,438.0,468947.0942669683,5030.84474588868,goal_reached,goal_reached,93.21438405552117
48,rl_residual,False,2.0,9399.31041361671,69.63163578588032,overload,overload,
49,astar,True,159.58254041869418,171535.4657351007,2393.7381062804125,goal_reached,goal_reached,71.66008064334433
49,teacher,True,206.0,210365.60365942633,2248.7647879664146,goal_reached,goal_reached,93.54717967176217
49,rl_residual,False,80.0,97018.72453400958,1789.4400061116648,overload,overload,
